,,,,,,DIPLOMA LATERAL ENTRY CUTOFF RANK OF DCET-2019 - FIRST ROUND ALLOTMENT ( GENERAL ),,,,,,,,,,,,,,,,,,,
1,E001,University Visveswariah College of Engineering,,,,,Bangalore,,,,,,,,,,,,,,,,,,
,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
EE Electrical,,1964,--,--,1786,2812,--,--,--,--,--,--,--,2704,--,3007,1768,--,--,1789,--,--,--,--,--
EI Elec. Inst.,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12756,--,--,--,--,--,--,--,--
Engg,,,,,,,,,,,,,,,,,,,,,,,,,
IE Info.Science,,--,--,13423,2503,--,--,2396,--,--,--,--,--,--,--,--,1990,3615,--,3077,--,--,--,--,--
IM Ind. Engg.,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15587,--,--,--,--,--,--,--,--
Mgmt.,,,,,,,,,,,,,,,,,,,,,,,,,
MD Med.Elect.,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,4703,--,--,--,--,--,--,--,--
ME Mechanical,,1133,--,--,955,--,--,--,--,4312,--,--,--,1047,1303,--,900,--,994,1439,--,--,--,--,--
TC Telecommn.,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15594,--,--,--,--,--,--,--,--
8,E008,Bangalore Institute of Technology,,,Bangalore,,,,,,,,,,,,,,,,,,,,
,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
CE Civil,,2374,--,--,1575,--,--,--,--,--,--,--,--,1461,--,--,1324,1598,1656,2114,--,2416,--,--,--
CS Computers,,--,--,--,1061,--,3049,1025,--,--,--,--,--,1059,--,--,933,--,2260,2964,4943,--,--,--,--
EC Electronics,,1557,--,--,1278,--,--,2343,--,--,--,--,--,1686,--,--,1159,1308,1536,2339,--,2797,--,--,--
EE Electrical,,--,--,--,1253,--,--,--,--,--,--,--,--,--,--,--,1193,--,1710,1510,--,--,--,--,--
EI Elec. Inst.,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,14929,--,--,--,--,--,--,--,--
Engg,,,,,,,,,,,,,,,,,,,,,,,,,
IE Info.Science,,--,--,--,--,--,--,2527,--,--,1391,--,--,--,--,--,1304,--,2380,--,--,--,--,--,--
IM Ind. Engg.,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16427,--,--,--,--,--,--,--,--
Mgmt.,,,,,,,,,,,,,,,,,,,,,,,,,
ME Mechanical,,971,--,2538,1444,1727,--,--,--,--,1004,--,--,--,--,--,935,--,1342,2247,--,--,--,--,--
TC Telecommn.,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15785,--,--,--,--,--,--,--,--
9,E009,P E S University (Ring Road Campus),,,Bangalore,,,,,,,,,,,,,,,,,,,,
,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
AR Architecture,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,7,--,--,--,--,--,--,--,--
BT Bio Technology,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
CE Civil,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,342,--,--,--,--,--,--,--,--
CS Computers,,670,--,--,504,--,--,592,--,--,583,--,--,567,--,--,434,543,919,2079,--,4150,--,--,--
EC Electronics,,--,--,--,396,--,2528,784,--,--,--,--,--,536,--,--,383,--,446,1723,--,--,--,--,--
,,,,,,DIPLOMA LATERAL ENTRY CUTOFF RANK OF DCET-2019 - FIRST ROUND ALLOTMENT ( GENERAL ),,,,,,,,,,,,,,,,,,,
9,E009,P E S University (Ring Road Campus),,,Bangalore,,,,,,,,,,,,,,,,,,,,
,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
EE Electrical,,--,--,--,646,--,--,--,--,--,--,--,--,--,--,2766,376,--,--,949,--,--,--,--,--
ME Mechanical,,--,--,--,346,--,--,--,--,5948,--,--,--,--,--,--,302,--,--,542,--,--,706,993,--
10,E010,Islamia Institute of Technology,,,Bangalore,,,,,,,,,,,,,,,,,,,,
,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
CE Civil,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,16352,--,--,--,--,--,--,--,--
CS Computers,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15645,--,--,--,--,--,--,--,--
EC Electronics,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,8306,--,--,--,--,--,--,--,--
ME Mechanical,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,15269,--,--,--,--,--,--,--,--
11,E011,M V J College of Engineering,,Bangalore,,,,,,,,,,,,,,,,,,,,,
,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
AE Aeronaut.Engg,,--,--,--,9760,--,--,--,--,--,8144,--,--,--,--,--,6975,--,--,--,--,--,--,--,--
CE Civil,,--,--,--,7895,--,11182,6494,--,--,6860,--,--,--,--,--,5670,--,5727,6309,--,--,--,--,--
CH Chemical,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
CS Computers,,--,--,--,--,--,--,--,--,--,--,--,--,11232,--,--,11164,--,11318 16493,--,--,--,--,--,
EC Electronics,,--,--,--,--,--,--,11147,--,--,--,--,--,11207,--,--,9684,10091 11022 11492,,--,--,--,--,--,
EE Electrical,,--,--,--,9594,--,--,--,--,--,--,--,--,7821,--,--,5821,--,--,7047,--,--,--,--,--
IE Info.Science,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,11877,--,--,--,--,--,--,--,--
MD Med.Elect.,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
ME Mechanical,,--,--,--,15969,--,--,16359,--,--,--,--,--,9193,--,--,7532,--,9677,9072,--,--,--,--,--
SE Aero Space,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,12292,--,--,--,--,--,--,--,--
Engg.,,,,,,,,,,,,,,,,,,,,,,,,,
12,E012,Sir M.Visveswaraya Institute of Technology,,,,,"Hunasemaranahalli,Bangalore,",,,,,,,,,,,,,,,,,,
,,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR,3BG,3BK,3BR,GM,GMK,GMR,SCG,SCK,SCR,STG,STK,STR
BT Bio Technology,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
CE Civil,,--,--,--,1959,--,--,--,--,--,--,--,--,--,--,--,978,--,--,1945,--,4628,--,--,--
CS Computers,,4650,--,--,2650,--,--,--,--,--,--,--,--,2529,--,--,2277,3694,3745,2577,--,--,--,--,--
EC Electronics,,--,--,--,1668,--,3519,2645,--,--,--,--,--,1567,--,--,1375,--,1894,3717,--,--,--,--,--
